observation_date	IPGMFN
1990-01-01	58.0675
1990-02-01	59.9663
1990-03-01	60.8556
1990-04-01	59.8361
1990-05-01	60.7942
1990-06-01	62.4065
1990-07-01	58.9195
1990-08-01	61.3320
1990-09-01	62.3798
1990-10-01	61.7897
1990-11-01	59.7225
1990-12-01	57.9880
1991-01-01	57.6173
1991-02-01	58.1532
1991-03-01	57.8848
1991-04-01	58.5195
1991-05-01	58.8722
1991-06-01	60.8395
1991-07-01	57.5694
1991-08-01	60.1914
1991-09-01	61.6242
1991-10-01	61.5260
1991-11-01	59.8859
1991-12-01	58.3145
1992-01-01	58.1976
1992-02-01	59.8928
1992-03-01	61.2782
1992-04-01	60.8129
1992-05-01	61.6853
1992-06-01	63.2492
1992-07-01	60.0608
1992-08-01	62.6368
1992-09-01	63.3181
1992-10-01	63.9425
1992-11-01	62.9319
1992-12-01	61.4363
1993-01-01	61.6671
1993-02-01	63.1791
1993-03-01	63.7860
1993-04-01	63.3419
1993-05-01	63.7435
1993-06-01	65.0660
1993-07-01	61.4606
1993-08-01	64.1921
1993-09-01	65.3718
1993-10-01	65.9931
1993-11-01	64.9620
1993-12-01	63.7894
1994-01-01	63.7228
1994-02-01	65.1281
1994-03-01	66.8915
1994-04-01	66.7265
1994-05-01	67.4424
1994-06-01	69.2440
1994-07-01	65.2051
1994-08-01	69.0102
1994-09-01	70.4195
1994-10-01	70.9975
1994-11-01	70.1964
1994-12-01	69.4446
1995-01-01	69.1597
1995-02-01	70.5855
1995-03-01	71.8696
1995-04-01	70.1813
1995-05-01	71.0056
1995-06-01	73.2740
1995-07-01	68.4365
1995-08-01	72.4739
1995-09-01	74.4219
1995-10-01	73.9374
1995-11-01	72.6585
1995-12-01	71.4606
1996-01-01	70.3240
1996-02-01	72.9890
1996-03-01	74.0231
1996-04-01	73.6232
1996-05-01	74.4606
1996-06-01	77.3231
1996-07-01	72.6655
1996-08-01	76.8514
1996-09-01	78.9755
1996-10-01	78.3583
1996-11-01	77.6667
1996-12-01	76.5634
1997-01-01	76.0947
1997-02-01	78.8419
1997-03-01	80.6270
1997-04-01	80.0856
1997-05-01	80.3935
1997-06-01	82.5396
1997-07-01	77.4122
1997-08-01	82.8721
1997-09-01	85.2707
1997-10-01	85.8342
1997-11-01	85.9420
1997-12-01	84.8387
1998-01-01	84.2599
1998-02-01	86.4183
1998-03-01	87.5873
1998-04-01	85.7920
1998-05-01	87.1869
1998-06-01	87.7470
1998-07-01	82.7629
1998-08-01	88.4561
1998-09-01	89.0932
1998-10-01	90.5819
1998-11-01	89.4717
1998-12-01	88.5272
1999-01-01	87.7792
1999-02-01	90.2288
1999-03-01	91.9569
1999-04-01	90.4744
1999-05-01	91.6394
1999-06-01	93.3369
1999-07-01	87.5000
1999-08-01	92.7664
1999-09-01	93.3064
1999-10-01	95.1730
1999-11-01	94.3190
1999-12-01	93.2938
